Periodo,Indicador,Área geográfica,DATA
2005 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,74.6
2005 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.88
2005 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.06
2005 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,79.22
2005 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,79.09
2005 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,78.09
2005 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.11
2005 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,78.5
2005 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,79.1
2005 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,78.97
2005 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,80.25
2005 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,81.09
2006 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,79.26
2006 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.81
2006 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.04
2006 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,79.67
2006 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,84.41
2006 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.28
2006 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,80.64
2006 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.41
2006 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.16
2006 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.53
2006 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.73
2006 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.53
2007 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,80.9
2007 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,78.35
2007 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.83
2007 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,81.97
2007 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,85.63
2007 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,84.99
2007 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.28
2007 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,84.28
2007 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.27
2007 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.59
2007 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,84.79
2007 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.55
2008 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.48
2008 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,81.22
2008 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,80.73
2008 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.8
2008 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,85.48
2008 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,85.48
2008 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,85.63
2008 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.08
2008 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,84.12
2008 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.63
2008 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.9
2008 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.16
2009 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.02
2009 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,73.65
2009 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,78.42
2009 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.26
2009 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,76.8
2009 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,79.09
2009 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,80.18
2009 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,78.07
2009 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,80.06
2009 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.34
2009 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.2
2009 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.29
2010 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,77.82
2010 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,77.04
2010 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.85
2010 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.22
2010 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.73
2010 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,84.1
2010 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.78
2010 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.86
2010 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,83.53
2010 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,84.52
2010 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.27
2010 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.36
2011 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,81.06
2011 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,80.12
2011 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,87.17
2011 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,82.96
2011 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.04
2011 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.88
2011 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.13
2011 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,87.29
2011 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.73
2011 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,87.55
2011 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,90.79
2011 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,89.21
2012 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,85.36
2012 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,85.3
2012 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,90.12
2012 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.67
2012 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,90.13
2012 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,89.79
2012 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,89.91
2012 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,89.45
2012 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,87.31
2012 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,91.36
2012 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,93.41
2012 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,90.42
2013 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,87.66
2013 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,85.14
2013 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,87.35
2013 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,90.46
2013 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,91.67
2013 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,89.26
2013 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,91.11
2013 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,90.19
2013 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,88.22
2013 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,92.82
2013 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,93.05
2013 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,92.09
2014 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,88.06
2014 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,86.92
2014 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,91.51
2014 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,90.61
2014 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,93.77
2014 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,92.24
2014 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,94.15
2014 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,91.27
2014 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,91.31
2014 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,95.62
2014 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,94.9
2014 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,95.5
2015 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,90.62
2015 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,89.27
2015 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,94.33
2015 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,92.93
2015 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,94.02
2015 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,95.6
2015 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,96.24
2015 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,93.91
2015 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,95.49
2015 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,97.29
2015 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,96.72
2015 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,97.51
2016 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,91.74
2016 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,92.73
2016 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,94.13
2016 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,95.75
2016 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,96
2016 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,97.38
2016 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,95.39
2016 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,96.88
2016 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,95.74
2016 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,97.66
2016 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,100.85
2016 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,99.79
2017 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,95.15
2017 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,93.33
2017 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,99.88
