ds,unique_id,y
2009-08-19,igae,78.07
2009-09-19,igae,80.06
2009-10-19,igae,82.34
2009-11-19,igae,82.2
2009-12-19,igae,83.29
2010-01-19,igae,77.82
2010-02-19,igae,77.04
2010-03-19,igae,83.85
2010-04-19,igae,82.22
2010-05-19,igae,82.73
2010-06-19,igae,84.1
2010-07-19,igae,83.78
2010-08-19,igae,82.86
2010-09-19,igae,83.53
2010-10-19,igae,84.52
2010-11-19,igae,86.27
2010-12-19,igae,86.36
2011-01-19,igae,81.06
2011-02-19,igae,80.12
2011-03-19,igae,87.17
2011-04-19,igae,82.96
2011-05-19,igae,86.04
2011-06-19,igae,86.88
2011-07-19,igae,86.13
2011-08-19,igae,87.29
2011-09-19,igae,86.73
2011-10-19,igae,87.55
2011-11-19,igae,90.79
2011-12-19,igae,89.21
2012-01-19,igae,85.36
2012-02-19,igae,85.3
2012-03-19,igae,90.12
2012-04-19,igae,86.67
2012-05-19,igae,90.13
2012-06-19,igae,89.79
2012-07-19,igae,89.91
2012-08-19,igae,89.45
2012-09-19,igae,87.31
2012-10-19,igae,91.36
2012-11-19,igae,93.41
2012-12-19,igae,90.42
2013-01-19,igae,87.66
2013-02-19,igae,85.14
2013-03-19,igae,87.35
2013-04-19,igae,90.46
2013-05-19,igae,91.67
2013-06-19,igae,89.26
2013-07-19,igae,91.11
2013-08-19,igae,90.19
2013-09-19,igae,88.22
2013-10-19,igae,92.82
2013-11-19,igae,93.05
2013-12-19,igae,92.09
2014-01-19,igae,88.06
2014-02-19,igae,86.92
2014-03-19,igae,91.51
2014-04-19,igae,90.61
2014-05-19,igae,93.77
2014-06-19,igae,92.24
2014-07-19,igae,94.15
2014-08-19,igae,91.27
2014-09-19,igae,91.31
2014-10-19,igae,95.62
2014-11-19,igae,94.9
2014-12-19,igae,95.5
2015-01-19,igae,90.62
2015-02-19,igae,89.27
2015-03-19,igae,94.33
2015-04-19,igae,92.93
2015-05-19,igae,94.02
2015-06-19,igae,95.6
2015-07-19,igae,96.24
2015-08-19,igae,93.91
2015-09-19,igae,95.49
2015-10-19,igae,97.29
2015-11-19,igae,96.72
2015-12-19,igae,97.51
2016-01-19,igae,91.74
2016-02-19,igae,92.73
2016-03-19,igae,94.13
2016-04-19,igae,95.75
2016-05-19,igae,96.0
2016-06-19,igae,97.38
2016-07-19,igae,95.39
2016-08-19,igae,96.88
2016-09-19,igae,95.74
2016-10-19,igae,97.66
2016-11-19,igae,100.85
2016-12-19,igae,99.79
2017-01-19,igae,95.15
2017-02-19,igae,93.33
2017-03-19,igae,99.88
2017-04-19,igae,94.25
2017-05-19,igae,99.16
2017-06-19,igae,99.89
2017-07-19,igae,96.51
2017-08-19,igae,99.23
2017-09-19,igae,95.76
2017-10-19,igae,99.46
2017-11-19,igae,102.8
2017-12-19,igae,100.82
2018-01-19,igae,97.41
2018-02-19,igae,95.32
2018-03-19,igae,98.98
2018-04-19,igae,98.91
2018-05-19,igae,102.01
2018-06-19,igae,101.25
2018-07-19,igae,100.15
2018-08-19,igae,101.61
2018-09-19,igae,98.0
2018-10-19,igae,102.34
2018-11-19,igae,104.01
2018-12-19,igae,100.02
2019-01-19,igae,98.52
2019-02-19,igae,95.94
2019-03-19,igae,99.93
2019-04-19,igae,97.68
2019-05-19,igae,101.34
2019-06-19,igae,99.87
2019-07-19,igae,100.51
2019-08-19,igae,100.14
2019-09-19,igae,97.49
2019-10-19,igae,100.54
2019-11-19,igae,102.9
2019-12-19,igae,99.93
2020-01-19,igae,98.31
2020-02-19,igae,95.26
2020-03-19,igae,96.92
2020-04-19,igae,76.33
2020-05-19,igae,76.9
2020-06-19,igae,86.48
2020-07-19,igae,90.46
2020-08-19,igae,91.53
2020-09-19,igae,92.97
2020-10-19,igae,96.35
2020-11-19,igae,99.3
2020-12-19,igae,97.98
2021-01-19,igae,93.12
2021-02-19,igae,90.87
2021-03-19,igae,99.81
2021-04-19,igae,96.19
2021-05-19,igae,98.21
2021-06-19,igae,98.43
2021-07-19,igae,97.31
2021-08-19,igae,96.06
2021-09-19,igae,93.73
2021-10-19,igae,96.27
2021-11-19,igae,101.09
2021-12-19,igae,99.66
2022-01-19,igae,94.78
2022-02-19,igae,93.61
2022-03-19,igae,101.6
2022-04-19,igae,98.49
2022-05-19,igae,101.62
2022-06-19,igae,100.25
2022-07-19,igae,99.71
2022-08-19,igae,101.69
2022-09-19,igae,98.85
2022-10-19,igae,100.78
2022-11-19,igae,105.83
2022-12-19,igae,103.98
2023-01-19,igae,99.31
2023-02-19,igae,97.07
2023-03-19,igae,104.09
2023-04-19,igae,100.23
2023-05-19,igae,105.84
2023-06-19,igae,104.05
2023-07-19,igae,102.74
2023-08-19,igae,105.02
2023-09-19,igae,102.57
2023-10-19,igae,105.28
2023-11-19,igae,107.66
2023-12-19,igae,104.47
2024-01-19,igae,101.64
2024-02-19,igae,101.29
2024-03-19,igae,102.66
2024-04-19,igae,105.62
2024-05-19,igae,107.37
2024-06-19,igae,103.45
2024-07-19,igae,106.73
2024-08-19,igae,105.44
2024-09-19,igae,102.43
2024-10-19,igae,105.99
2024-11-19,igae,107.91
2024-12-19,igae,103.79
2025-01-19,igae,101.23
2025-02-19,igae,100.35
2025-03-19,igae,105.35
2025-04-19,igae,103.95
2025-05-19,igae,107.41
2025-06-19,igae,104.54
2025-07-19,igae,105.74
2025-08-19,igae,104.89
2025-09-19,igae,103.18
2025-10-19,igae,107.84
1993-01-19,consumo,51.0
1993-02-19,consumo,49.8
1993-03-19,consumo,54.5
1993-04-19,consumo,53.3
